product,year,mass
Crude steel production,2016,7635
Hot rolled long products,2016,2940
Hot rolled flat products,2016,3743
Railway track material,2016,191
Heavy sections (>=80mm),2016,846
Light sections (<80mm),2016,0
Concrete reinforced bars,2016,340
Other hot rolled bars,2016,637
Wire rod,2016,926
Hot rolled plate (>=3mm),2016,434
"Hot rolled coil, sheet and strip (<3mm)",2016,3310
Electrical sheet and strip,2016,55
Tinmill products,2016,390
Other metal coated sheet and strip,2016,799
Non-metalic coated sheet and strip,2016,342
Tubular products,2016,0
Crude steel production,2009,10079
Hot rolled long products,2009,3131
Hot rolled flat products,2009,4004
Railway track material,2009,177
Heavy sections (>=80mm),2009,574
Light sections (<80mm),2009,0
Concrete reinforced bars,2009,468
Other hot rolled bars,2009,801
Wire rod,2009,1110
Hot rolled plate (>=3mm),2009,746
"Hot rolled coil, sheet and strip (<3mm)",2009,3258
Electrical sheet and strip,2009,54
Tinmill products,2009,396
Other metal coated sheet and strip,2009,825
Non-metalic coated sheet and strip,2009,175
Tubular products,2009,528
Railway track material,2010,161
Heavy sections (>=80mm),2010,656
Concrete reinforced bars,2010,441
Electrical sheet and strip,2010,71
Tinmill products,2010,468
Other metal coated sheet and strip,2010,943
Non-metalic coated sheet and strip,2010,0
Railway track material,2011,192
Heavy sections (>=80mm),2011,501
Concrete reinforced bars,2011,346
Electrical sheet and strip,2011,75
Tinmill products,2011,411
Other metal coated sheet and strip,2011,962
Non-metalic coated sheet and strip,2011,67
Railway track material,2012,176
Heavy sections (>=80mm),2012,425
Concrete reinforced bars,2012,354
Electrical sheet and strip,2012,65
Tinmill products,2012,410
Other metal coated sheet and strip,2012,860
Non-metalic coated sheet and strip,2012,324
Railway track material,2013,214
Heavy sections (>=80mm),2013,487
Concrete reinforced bars,2013,300
Electrical sheet and strip,2013,59
Tinmill products,2013,401
Other metal coated sheet and strip,2013,1052
Non-metalic coated sheet and strip,2013,316
Railway track material,2014,245
Heavy sections (>=80mm),2014,546
Concrete reinforced bars,2014,312
Electrical sheet and strip,2014,62
Tinmill products,2014,430
Other metal coated sheet and strip,2014,1082
Non-metalic coated sheet and strip,2014,295
Railway track material,2015,273
Heavy sections (>=80mm),2015,671
Concrete reinforced bars,2015,309
Electrical sheet and strip,2015,66
Tinmill products,2015,407
Other metal coated sheet and strip,2015,1076
Non-metalic coated sheet and strip,2015,303
Railway track material,2008,218
Heavy sections (>=80mm),2008,851
Concrete reinforced bars,2008,662
Electrical sheet and strip,2008,90
Tinmill products,2008,462
Other metal coated sheet and strip,2008,1059
Non-metalic coated sheet and strip,2008,413
Railway track material,2007,139
Heavy sections (>=80mm),2007,965
Concrete reinforced bars,2007,587
Electrical sheet and strip,2007,127
Tinmill products,2007,443
Other metal coated sheet and strip,2007,1219
Non-metalic coated sheet and strip,2007,434
Railway track material,2006,155
Heavy sections (>=80mm),2006,1115
Concrete reinforced bars,2006,524
Electrical sheet and strip,2006,139
Tinmill products,2006,421
Other metal coated sheet and strip,2006,1318
